#cP2012 12 25  0  0  0.00000000      96 ORBIT IGb08 HLM  IGS
## 1720 172800.00000000   900.00000000 56286 0.0000000000000
+   24   R01R02R03R04R05R06R07R08R09R10R11R12R13R14R15R16R17
+        R18R19R20R21R22R23R24  0  0  0  0  0  0  0  0  0  0
+          0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
+          0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
+          0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
++         4  4  3  3  3  3  3  4  3  3  4  3  3  3  3  3  3
++         3  3  4  4  3  3  3  0  0  0  0  0  0  0  0  0  0
++         0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
++         0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
++         0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
%c R  cc GPS ccc cccc cccc cccc cccc ccccc ccccc ccccc ccccc
%c cc cc ccc ccc cccc cccc cccc cccc ccccc ccccc ccccc ccccc
%f  1.2500000  1.025000000  0.00000000000  0.000000000000000
%f  0.0000000  0.000000000  0.00000000000  0.000000000000000
%i    0    0    0    0      0      0      0      0         0
%i    0    0    0    0      0      0      0      0         0
/* FINAL ORBIT COMBINATION FROM WEIGHTED AVERAGE OF:        
/* brx cod cof emx esx gfz grg iac mcc                      
/*                                                          
/* PCV:IGS08_1722 OL/AL:FES2004  NONE     Y  ORB:CMB CLK:CMB
*  2012 12 25  0  0  0.00000000
PR01  17881.029754 -16529.205923   7635.479213   -174.963775 13 11 15           
PR02   2788.622065 -14232.329012  20988.624609   -352.139710 10 10 10           
PR03 -12595.690978  -3981.440005  21857.273575   -121.630657 11  9 12           
PR04 -21647.822643   8905.883325  10143.979390     27.165820  7 12 11           
PR05 -17924.243217  16516.414754  -7516.742982   -171.862471  7  8 11           
PR06  -3462.818495  14415.629679 -20781.906184     23.043786 11  8 10           
PR07  12581.960995   3959.253389 -21802.330729    -46.817612 10 11 11           
PR08   3936.878227 -14483.009802  20677.644888    -76.736252 11 11 13           
PR09   2191.774757  25423.531890   1446.393531    -20.030716 11 11 12           
PR10   8752.802866  17038.012143  16789.403304    -53.478333  9 11  6           
PR11  10501.847116  -1376.749562  23208.995802    -52.761215 11 17  9           
PR12   5976.425234 -19547.806314  15347.008703    -96.785568 10 10  8           
PR13  -2477.486461 -25358.890179  -1326.540571   -373.617773 12  5 10           
PR14  -8794.045754 -17087.883552 -16828.366936     11.931049  8 11 10           
PR15 -10124.670532   3615.817235 -23123.770943      2.393571 10 13  8           
PR16  -5880.785512  19615.329409 -15173.851374    -10.635632 11 10 12           
PR17 -21364.532216 -13057.941254  -4756.155231     52.412210  9  9 11           
PR18 -21870.354210  -4294.251749  12517.739143    -45.985843 11 11  7           
PR19  -8320.140724   7745.538157  22831.003836    -43.573816 11 11  9           
PR20   9684.128906  14617.289472  18505.337425    -19.054053 12 10 14           
PR21  21372.764796  13157.673938   4832.808158      2.943149 12 13 12           
PR22  21876.577268   4365.416085 -12237.774658     68.936569  8 12  9           
PR23   9508.932612  -7144.114044 -22576.086593   -466.949529 13 11  8           
PR24  -7892.504444 -14193.027979 -19693.693768    -84.980319 11  8 10           
*  2012 12 25  0 15  0.00000000
PR01  18413.781792 -17074.476014   4547.465462   -174.963775 10 10 13           
PR02   4770.627628 -15751.110387  19495.405683   -352.141347 10 10 11           
PR03 -10356.028840  -5558.958902  22674.221858   -121.630657  9  8 11           
PR04 -20422.408484   8173.235822  12924.067053     27.165820  8 13 11           
PR05 -18444.849727  17050.502008  -4422.267448   -171.862471  8  9  9           
PR06  -5415.939591  15916.508923 -19210.693667     23.043786  7  8 10           
PR07  10334.629452   5542.149705 -22622.319666    -46.818431  9  9 10           
PR08   5867.066751 -15979.080467  19052.479236    -76.736252 11 10 13           
PR09   2369.062529  25388.749125  -1771.326304    -20.029898 11 11 11           
PR10   9110.062472  18942.628133  14381.450569    -53.478333  9 10  9           
PR11  10815.808891   1462.599070  23065.642241    -52.761215 10 17  8           
PR12   6035.274968 -17512.578420  17598.339792    -96.783931 10  8  8           
PR13  -2669.076541 -25301.025476   1907.242731   -373.618591 11  6 10           
PR14  -9160.321791 -18986.831791 -14431.332168     11.929412  9 11 11           
